id,category,question_he,answer_he,source_urls,needs_secretary_review,secretary_tag,notes
mba_gt_011,program_structure,כמה נ״ז צריך להשלים ב-MBA רגיל?,במסלול העיוני הרגיל תכנית ה-MBA כוללת 48 נ״ז בדיוק. במקרים חריגים בלבד התקנון מציין אפשרות לאישור עד 51 נ״ז.,https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf,TRUE,,
mba_gt_012,program_structure,איך מתחלקות 48 נקודות הזכות?,"ברירת המחדל לסטודנטים ללא פטורים היא 24 נ״ז קורסי חובה כלליים ועוד 24 נ״ז לימודי התמחות ראשית. קורסי תשתית במתמטיקה וסטטיסטיקה, אם נדרשים, נלמדים בנוסף ואינם נספרים ל-48 נ״ז.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; secretariat-provided,TRUE,,
mba_gt_013,program_structure,האם מתמטיקה וסטטיסטיקה נספרים לתואר?,"לא. קורסי התשתית במתמטיקה וסטטיסטיקה אינם נספרים במניין 48 נ״ז של התואר, כרוכים בתשלום נוסף, ונדרש לעבור אותם בציון 60 לפחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_014,program_structure,מהם קורסי החובה הכלליים?,"קורסי החובה הכלליים הם שמונה קורסים של 3 נ״ז: כלכלת עסקים א׳, מבוא לחשבונאות, התנהגות ארגונית ומנהל משאבי אנוש, אסטרטגיה עסקית, מבוא למימון, נתונים וטכנולוגיה בעסקים - MBA, ניהול השיווק ומודלים כמותיים בניהול.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/roadmap/322-3222,TRUE,,
mba_gt_015,program_structure,מה ציון העובר בקורסי חובה כלליים?,"לפי התקנון והשנתון, ציון עובר בקורסי החובה הכלליים הוא 60 ומעלה. במסלולים מיוחדים יש לבדוק אם קיימות דרישות נוספות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/roadmap/322-3222,TRUE,,
mba_gt_016,program_structure,האם לכל קורסי החובה יש תנאי קדם?,"לא. לשלושת קורסי החובה הראשונים אין תנאי קדם, אך שאר קורסי החובה דורשים ידע מקדים ונלמדים רק לאחר השלמת תנאי הקדם.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf,TRUE,,
mba_gt_017,program_structure,מה כוללים לימודי התמחות?,"לימודי התמחות כוללים קורסי חובה של ההתמחות, קורסי בחירה של ההתמחות וסמינר בתחום ההתמחות. התמחות ראשית היא בדרך כלל 24 נ״ז.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf,TRUE,,
mba_gt_018,program_structure,כמה זמן נמשכים לימודי MBA?,"לימודי MBA במסלול הרגיל אורכים שנתיים, כלומר ארבעה סמסטרים. לפי המזכירות, אין פתיחה בסמסטר ב׳.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; secretariat-provided,TRUE,,
mba_gt_019,program_structure,באילו שעות מתקיימים הלימודים?,"התקנון מציין שהלימודים מותאמים לסטודנטים עובדים ומתקיימים אחר הצהריים והערב החל מ-15:30, וחלק מהקורסים מתקיימים בימי שישי בבוקר. לפי המזכירות, ההוראה פרונטלית.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; secretariat-provided,TRUE,,
mba_gt_020,program_structure,באילו ימים לומדים חובה כללית והתמחות?,"לפי המזכירות, קורסי חובה כלליים נלמדים בדרך כלל בימי רביעי ו/או שישי, וקורסי התמחות בימי ראשון, שני או שלישי לפי ההתמחות. במקרה של פטורים ייתכן צורך ביום נוסף להשלמות.",secretariat-provided,TRUE,,
mba_gt_021,program_structure,האם אפשר ללמוד שתי התמחויות ראשיות?,"לא. התקנון מציין שלא ניתן ללמוד שתי התמחויות ראשיות. שילובים אפשריים תלויים בהתמחות, בהיקף הפטורים ובאישורים הנדרשים.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf,TRUE,,
mba_gt_022,program_structure,מה התנאים למסלול מחקרי?,"אפשר לבקש מעבר למסלול מחקרי בסוף שנה א׳ או בסמוך לכך, אם מסיימים שנה א׳ בממוצע 85 ומעלה ונמצא מנחה שאישר בכתב את ההנחיה. המעבר דורש אישור הוועדה לתלמידי מחקר.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/roadmap/322-3220,TRUE,,
mba_gt_023,specialization_requirements,כמה נ״ז צריך ללמוד בהתמחות ראשית במימון ובנקאות?,"התמחות ראשית במימון ובנקאות היא בהיקף 24 נ״ז מקורסי ההתמחות. בתוך ה-24 נ״ז יש לעמוד בדרישות הפנימיות של השנתון, כולל חובה, בחירה וסמינר לפי ההתמחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3113,TRUE,,
mba_gt_024,specialization_requirements,כמה נ״ז צריך ללמוד בהתמחות ראשית בניהול פיננסי לחשבונאים?,"התמחות ראשית בניהול פיננסי לחשבונאים היא בהיקף 24 נ״ז מקורסי ההתמחות. בתוך ה-24 נ״ז יש לעמוד בדרישות הפנימיות של השנתון, כולל חובה, בחירה וסמינר לפי ההתמחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3114,TRUE,,
mba_gt_025,specialization_requirements,כמה נ״ז צריך ללמוד בהתמחות ראשית בשיווק?,"התמחות ראשית בשיווק היא בהיקף 24 נ״ז מקורסי ההתמחות. בתוך ה-24 נ״ז יש לעמוד בדרישות הפנימיות של השנתון, כולל חובה, בחירה וסמינר לפי ההתמחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3123,TRUE,,
mba_gt_026,specialization_requirements,כמה נ״ז צריך ללמוד בהתמחות ראשית בהתנהגות ארגונית ומנהל משאבי אנוש?,"התמחות ראשית בהתנהגות ארגונית ומנהל משאבי אנוש היא בהיקף 24 נ״ז מקורסי ההתמחות. בתוך ה-24 נ״ז יש לעמוד בדרישות הפנימיות של השנתון, כולל חובה, בחירה וסמינר לפי ההתמחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3333,TRUE,,
mba_gt_027,specialization_requirements,כמה נ״ז צריך ללמוד בהתמחות ראשית באסטרטגיה ויזמות?,"התמחות ראשית באסטרטגיה ויזמות היא בהיקף 24 נ״ז מקורסי ההתמחות. בתוך ה-24 נ״ז יש לעמוד בדרישות הפנימיות של השנתון, כולל חובה, בחירה וסמינר לפי ההתמחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3443,TRUE,,
mba_gt_028,specialization_requirements,כמה נ״ז צריך ללמוד בהתמחות ראשית בחקר ביצועים?,"התמחות ראשית בחקר ביצועים היא בהיקף 24 נ״ז מקורסי ההתמחות. בתוך ה-24 נ״ז יש לעמוד בדרישות הפנימיות של השנתון, כולל חובה, בחירה וסמינר לפי ההתמחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3552,TRUE,,
mba_gt_029,specialization_requirements,כמה נ״ז צריך ללמוד בהתמחות ראשית במדע המידע בניהול?,"התמחות ראשית במדע המידע בניהול היא בהיקף 24 נ״ז מקורסי ההתמחות. בתוך ה-24 נ״ז יש לעמוד בדרישות הפנימיות של השנתון, כולל חובה, בחירה וסמינר לפי ההתמחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3662,TRUE,,
mba_gt_030,specialization_requirements,כמה נ״ז צריך ללמוד בהתמחות ראשית באנליטיקה של נתוני עתק?,"התמחות ראשית באנליטיקה של נתוני עתק היא בהיקף 24 נ״ז מקורסי ההתמחות. בתוך ה-24 נ״ז יש לעמוד בדרישות הפנימיות של השנתון, כולל חובה, בחירה וסמינר לפי ההתמחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3663,TRUE,,
mba_gt_031,specialization_requirements,כמה נ״ז צריך ללמוד בהתמחות ראשית בניהול ביו-רפואי?,"התמחות ראשית בניהול ביו-רפואי היא בהיקף 24 נ״ז מקורסי ההתמחות. בתוך ה-24 נ״ז יש לעמוד בדרישות הפנימיות של השנתון, כולל חובה, בחירה וסמינר לפי ההתמחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3664,TRUE,,
mba_gt_032,specialization_requirements,כמה נ״ז צריך ללמוד בהתמחות ראשית בפינטק?,"התמחות ראשית בפינטק היא בהיקף 24 נ״ז מקורסי ההתמחות. בתוך ה-24 נ״ז יש לעמוד בדרישות הפנימיות של השנתון, כולל חובה, בחירה וסמינר לפי ההתמחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3798,TRUE,,
mba_gt_033,specialization_requirements,האם אפשר ללמוד את מימון ובנקאות כהתמחות משנית?,"כן. לפי התקנון מימון ובנקאות ניתנת ללמידה כהתמחות ראשית או משנית. התמחות משנית היא בדרך כלל לפחות 18 נ״ז מקורסי ההתמחות, בכפוף לדרישות השנתון.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3111,TRUE,,
mba_gt_034,specialization_requirements,האם אפשר ללמוד את שיווק כהתמחות משנית?,"כן. לפי התקנון שיווק ניתנת ללמידה כהתמחות ראשית או משנית. התמחות משנית היא בדרך כלל לפחות 18 נ״ז מקורסי ההתמחות, בכפוף לדרישות השנתון.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3121,TRUE,,
mba_gt_035,specialization_requirements,האם אפשר ללמוד את התנהגות ארגונית ומנהל משאבי אנוש כהתמחות משנית?,"כן. לפי התקנון התנהגות ארגונית ומנהל משאבי אנוש ניתנת ללמידה כהתמחות ראשית או משנית. התמחות משנית היא בדרך כלל לפחות 18 נ״ז מקורסי ההתמחות, בכפוף לדרישות השנתון.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3331,TRUE,,
mba_gt_036,specialization_requirements,האם אפשר ללמוד את אסטרטגיה ויזמות כהתמחות משנית?,"כן. לפי התקנון אסטרטגיה ויזמות ניתנת ללמידה כהתמחות ראשית או משנית. התמחות משנית היא בדרך כלל לפחות 18 נ״ז מקורסי ההתמחות, בכפוף לדרישות השנתון.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3441,TRUE,,
mba_gt_037,specialization_requirements,האם אפשר ללמוד את חקר ביצועים כהתמחות משנית?,"כן. לפי התקנון חקר ביצועים ניתנת ללמידה כהתמחות ראשית או משנית. התמחות משנית היא בדרך כלל לפחות 18 נ״ז מקורסי ההתמחות, בכפוף לדרישות השנתון.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3551,TRUE,,
mba_gt_038,specialization_requirements,האם אפשר ללמוד את מדע המידע בניהול כהתמחות משנית?,"כן. לפי התקנון מדע המידע בניהול ניתנת ללמידה כהתמחות ראשית או משנית. התמחות משנית היא בדרך כלל לפחות 18 נ״ז מקורסי ההתמחות, בכפוף לדרישות השנתון.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3661,TRUE,,
mba_gt_039,specialization_requirements,האם אפשר ללמוד אנליטיקה של נתוני עתק כהתמחות משנית?,"לא. אנליטיקה של נתוני עתק ניתנת ללמידה רק כהתמחות ראשית, ולא ניתן לשלב אותה עם חקר ביצועים או עם מדע המידע בניהול.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3663,TRUE,,
mba_gt_040,specialization_requirements,האם אפשר לשלב אנליטיקה של נתוני עתק עם חקר ביצועים?,לא. התקנון מציין שאנליטיקה של נתוני עתק לא ניתנת לשילוב עם חקר ביצועים.,https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3663; https://shnaton.huji.ac.il/specialization/3552,TRUE,,
mba_gt_041,specialization_requirements,האם אפשר לשלב אנליטיקה של נתוני עתק עם מדע המידע בניהול?,לא. התקנון מציין שאנליטיקה של נתוני עתק לא ניתנת לשילוב עם מדע המידע בניהול.,https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3663; https://shnaton.huji.ac.il/specialization/3662,TRUE,,
mba_gt_042,specialization_requirements,האם אפשר ללמוד ניהול ביו-רפואי כהתמחות משנית?,לא. ניהול ביו-רפואי ניתנת ללמידה רק כהתמחות ראשית.,https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3664,TRUE,,
mba_gt_043,specialization_requirements,האם אפשר ללמוד פינטק כהתמחות משנית?,לא. פינטק ניתנת ללמידה רק כהתמחות ראשית.,https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3798,TRUE,,
mba_gt_044,specialization_requirements,האם אפשר לשלב מימון ובנקאות עם ניהול פיננסי לחשבונאים?,לא. התקנון מציין שמימון ובנקאות לא ניתנת לשילוב עם ניהול פיננסי לחשבונאים.,https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3113; https://shnaton.huji.ac.il/specialization/3114,TRUE,,
mba_gt_045,specialization_requirements,איזו התמחות מתאימה למי שמתעניין בנתונים?,אנליטיקה של נתוני עתק ומדע המידע בניהול הן אפשרויות רלוונטיות למי שמתעניין בניתוח נתונים וקבלת החלטות מבוססת נתונים. יש לבדוק תנאי קדם וכללי שילוב לפני בחירה.,https://bschool.huji.ac.il/mba/specializations; https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3663; https://shnaton.huji.ac.il/specialization/3662,TRUE,,
mba_gt_046,specialization_requirements,מה לומדים בהתמחות שיווק?,"ההתמחות בשיווק עוסקת בניהול לקוחות, שירות, ניתוח נתונים, בניית מוצרים ומותגים, שיווק דיגיטלי ואסטרטגיה שיווקית. דרישות הקורסים המחייבות מופיעות בשנתון.",https://bschool.huji.ac.il/mba/specializations; https://shnaton.huji.ac.il/specialization/3123,TRUE,,
mba_gt_047,specialization_requirements,מה לומדים בהתמחות פינטק?,"פינטק עוסק במפגש בין טכנולוגיה למימון, כולל תשלומים דיגיטליים, מטבעות קריפטוגרפיים ובלוקצ׳יין. מבחינת מבנה התואר, פינטק היא התמחות ראשית בלבד בהיקף 24 נ״ז.",https://bschool.huji.ac.il/mba/specializations; https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3798,TRUE,,
mba_gt_048,specialization_requirements,מה מתאים למי שמתעניין ביזמות?,"אסטרטגיה ויזמות מיועדת למתעניינים באסטרטגיה, פיתוח רעיונות, יזמות והתקדמות לתפקידי ניהול. היא יכולה להילמד כהתמחות ראשית או משנית.",https://bschool.huji.ac.il/mba/specializations; https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3443,TRUE,,
mba_gt_049,specialization_requirements,מה מתאים למי שמתעניין בארגונים ומשאבי אנוש?,"התנהגות ארגונית ומנהל משאבי אנוש עוסקת באנשים, ארגונים, מנהיגות, קבוצות, קבלת החלטות וכלי ניהול. היא יכולה להילמד כהתמחות ראשית או משנית.",https://bschool.huji.ac.il/mba/specializations; https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3333,TRUE,,
mba_gt_050,specialization_requirements,מה מתאים למי שמתעניין במימון ושוק ההון?,"מימון ובנקאות מיועדת למתעניינים בשוק ההון, בנקאות, ביטוח, גיוסי הון והיבטים פיננסיים של ניהול. לא ניתן לשלב אותה עם ניהול פיננסי לחשבונאים.",https://bschool.huji.ac.il/mba/specializations; https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/specialization/3113,TRUE,,
mba_gt_051,specialization_requirements,מה עושים אם קיבלתי פטור מקורס חובה בתוך התמחות?,"אם ניתן פטור מקורס חובה של ההתמחות, יש להשלים את נקודות הזכות מתוך קורסי הבחירה של אותה התמחות.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://bschool.huji.ac.il/ptorim,TRUE,,
mba_gt_052,specialization_requirements,האם כל התמחות כוללת סמינר?,"התקנון מתאר את לימודי ההתמחות ככוללים קורסי חובה, קורסי בחירה וסמינר בתחום ההתמחות. יש לבדוק בשנתון את הסמינר וההיקף המדויקים של ההתמחות שנבחרה.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf,TRUE,,
mba_gt_053,exemptions,איך מגישים בקשה לפטור אקדמי?,"בקשות לפטורים מגישים דרך המידע האישי. הבקשה מגיעה למזכירות החוג, וכל גיליון ציונים נבדק פרטנית.",https://bschool.huji.ac.il/ptorim; secretariat-provided,TRUE,,
mba_gt_054,exemptions,האם טבלת הפטורים מחייבת?,לא. דף הפטורים מציין שהטבלה אינדיקטיבית בלבד וללא התחייבות. כל פטור ניתן לפי בדיקה פרטנית ושיקול הגורם המוסמך.,https://bschool.huji.ac.il/ptorim,TRUE,,
mba_gt_055,exemptions,איזה ציון צריך בקורס קודם כדי לקבל פטור?,דף הפטורים מציין שיש לעבור בציון 60 ומעלה את הקורסים המקבילים לקורסי התשתית או החובה הכלליים. הציון אינו מבטיח פטור בלי אישור פרטני.,https://bschool.huji.ac.il/ptorim,TRUE,,
mba_gt_056,exemptions,מה משמעות הסימן + בטבלת הפטורים?,סימן + אומר שחובה ללמוד את שני הקורסים שמופיעים בטבלה כדי שיוכלו לשמש בסיס לפטור.,https://bschool.huji.ac.il/ptorim,TRUE,,
mba_gt_057,exemptions,מה משמעות פסיק בטבלת הפטורים?,"פסיק בין קורסים אומר שאחד מהקורסים מספיק לקבלת הפטור, בכפוף לבדיקה פרטנית ואישור.",https://bschool.huji.ac.il/ptorim,TRUE,,
mba_gt_058,exemptions,"אם קיבלתי פטור מקורס חובה כללי, במה מחליפים אותו?",יש ללמוד קורס בחירה כללי או קורס נוסף מההתמחות כדי להשלים את מכסת הנ״ז לתואר.,https://bschool.huji.ac.il/ptorim; https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf,TRUE,,
mba_gt_059,exemptions,"אם קיבלתי פטור מקורס חובה של התמחות, במה מחליפים אותו?",יש ללמוד קורס בחירה של אותה התמחות להשלמת הנ״ז.,https://bschool.huji.ac.il/ptorim; https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf,TRUE,,
mba_gt_060,exemptions,קיבלתי פטור ממתמטיקה או סטטיסטיקה. צריך קורס חלופי?,"לא. מתמטיקה וסטטיסטיקה הם קורסי תשתית מחוץ למניין נ״ז התואר, ולכן אין צורך להשלים קורס חלופי במקומם.",https://bschool.huji.ac.il/mba/admittance; https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; secretariat-provided,TRUE,,
mba_gt_061,exemptions,אני בוגר כלכלה. האם יש לי פטור אוטומטי?,"לא אוטומטי. ייתכן שניתן לקבל פטורים לפי הקורסים והציונים שנלמדו, אך יש להגיש בקשה דרך המידע האישי ולחכות לבדיקה פרטנית.",https://bschool.huji.ac.il/ptorim,TRUE,,
mba_gt_062,exemptions,אני בוגר מדעי המחשב. האם יש פטור ממתמטיקה וסטטיסטיקה?,"ייתכן, בהתאם לקורסים ולציונים. במסלול המואץ מצוין שלימודי מתמטיקה וסטטיסטיקה בתארים כמותיים עשויים להקנות פטור, אך נדרש אישור פרטני.",https://bschool.huji.ac.il/ptorim; https://bschool.huji.ac.il/Accelerated-study-track-all,TRUE,,
mba_gt_063,exemptions,אני לומד חשבונאות. מאילו קורסים בדרך כלל יש פטור?,"במסלול אלפא לחשבונאים מצוין שלימודי חשבונאות עשויים לפטור ממבוא לחשבונאות, מבוא למימון, נתונים וטכנולוגיה בעסקים וכלכלת עסקים מיקרו, בכפוף למסלול ולבדיקה פרטנית.",https://bschool.huji.ac.il/Accelerated-study-track; https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://bschool.huji.ac.il/ptorim,TRUE,,דורש תיקוף לפי סטודנט.
mba_gt_064,exemptions,מתי כדאי להגיש בקשה לפטור?,"מומלץ להסדיר פטורים מוקדם ככל האפשר, כי הם משפיעים על יתרת הנ״ז, קורסי ההשלמה ובניית המערכת.",https://bschool.huji.ac.il/ptorim; secretariat-provided,TRUE,,
mba_gt_065,course_planning,איך לבחור קורסים לסמסטר הקרוב?,"מתחילים מקורסי חובה כלליים שטרם הושלמו, תנאי קדם לקורסי התמחות וקורסי חובה/סמינר של ההתמחות. אחר כך מוסיפים בחירה לפי עניין, בלי חפיפות ובלי הפרת תנאי קדם.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; https://shnaton.huji.ac.il/roadmap/322-3222; secretariat-provided,TRUE,,
mba_gt_066,course_planning,אפשר להירשם לקורס מתקדם לפני שיש ציון בתנאי הקדם?,לא. ניתן להירשם לקורס עם תנאי קדם רק לאחר שהוזן ציון בקורס המהווה תנאי קדם.,https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; secretariat-provided,TRUE,,
mba_gt_067,course_planning,אפשר להירשם לשני קורסים שחופפים בשעות?,"לא. לפי המזכירות, לא ניתן להירשם לקורסים הנלמדים בחפיפה.",secretariat-provided,TRUE,,
mba_gt_068,course_planning,תלמיד תואר שני יכול להירשם לקורס תואר ראשון?,"לפי המזכירות, תלמיד תואר שני לא יכול להירשם לקורס של תואר ראשון. במסלולים מואצים יש לבדוק לפי הסטטוס האקדמי בזמן הרישום.",secretariat-provided; https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf,TRUE,,
mba_gt_069,course_planning,יש נוכחות חובה בקורסי MBA?,"לפי המזכירות, יש נוכחות חובה בקורסי מוסמך במנהל עסקים.",secretariat-provided,TRUE,,
mba_gt_070,course_planning,למה חשוב לקחת את קורס החובה של תחום ההתמחות בסמסטר הראשון?,"התקנון מדגיש שצריך לעבור את קורס החובה הרלוונטי לתחום הליבה בסמסטר הראשון, אחרת ייתכן שקורסי התמחות יידחו והסיום בשנתיים ייפגע.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf,TRUE,,
mba_gt_071,course_planning,איך בונים מערכת עם שתי התמחויות?,"בודקים קודם שהשילוב מותר, שאין שתי התמחויות ראשיות ושאין שילוב אסור. אחר כך בודקים נ״ז, תנאי קדם וחפיפות. חלק מהחלופות דורשות אישור ועדת הוראה.",https://bschool.huji.ac.il/sites/default/files/business/files/academic_regulations_for_masters_programs_01.pdf; secretariat-provided,TRUE,,
