sample_id,chunk_ids,match_score,matched_preview,needs_review
mba_gt_026,parent_child_192;parent_child_193;parent_child_44,10,"נ""ז בהתמחות הראשית, או 18 נ""ז בהתמחות המשנית, יש לקחת קורסי בחירה או חובה נוספים מתוך ההתמחות. התנהגות ארגונית ומנהל משא",TRUE
mba_gt_027,parent_child_1708;parent_child_1667;parent_child_188,6,"שנה 1 - חובת בחירה סמינרים (סה""כ 2 נ""ז) הערה: בהתמחות ראשית באסטרטגיה, יש לבחור סמינר אחד (אחרי לימוד קורסי החובה בהתמחו",TRUE
mba_gt_028,parent_child_1784;parent_child_1760;parent_child_1737,9,"שנה 1 - חובה (סה""כ 9 נ""ז) הערה: בהתמחות ראשית בחקר ביצועים וניהול התפעול יש ללמוד לפחות 24 נ""ז מקורסי ההתמחות. בוגרי מינ",TRUE
mba_gt_029,parent_child_201;parent_child_213;parent_child_45,7,"וכסטיים 55939 (3 נ""ז) פרויקט התנסות בייעוץ 55867 (3 נ""ז) סמינר (4 נ""ז) סה""כ: 19 נ""ז חובה. כדי להשלים ל-24 נ""ז בהתמחות הר",TRUE
mba_gt_030,parent_child_41;parent_child_202;parent_child_1523,7,"תשתית במתמטיקה ובסטטיסטיקה במסגרת קורסי הקיץ המרוכזים. לימודי התמחות לימודי ההתמחות כוללים קורסי חובה של ההתמחות, קורסי ",TRUE
mba_gt_031,parent_child_1879;parent_child_1854;parent_child_1876,7,"שנה 1 - חובה (סה""כ 12 נ""ז) הערה: התמחות בניהול ביו-רפואי. התמחות ראשית בלבד, יש ללמוד יש ללמוד לפחות 24 נ""ז מקורסי ההתמח",TRUE
mba_gt_032,parent_child_48;parent_child_218;parent_child_205,5,"ת"". 9. פינטק – ניתן ללמוד רק כהתמחות ראשית. 10. שיווק – ניתן ללמוד כהתמחות ראשית או משנית. שימו לב:  לא ניתן ללמוד שתי ",TRUE
mba_gt_033,parent_child_205;parent_child_45;parent_child_1238,6,"קורסי בחירה מתוך ההתמחות. מימון ובנקאות ניתן ללמוד כראשית או משנית. לא ניתן לשלב עם ההתמחות ""ניהול פיננסי לחשבונאים"". אם",TRUE
mba_gt_034,parent_child_48;parent_child_209;parent_child_212,5,"ת"". 9. פינטק – ניתן ללמוד רק כהתמחות ראשית. 10. שיווק – ניתן ללמוד כהתמחות ראשית או משנית. שימו לב:  לא ניתן ללמוד שתי ",TRUE
mba_gt_035,parent_child_192;parent_child_44;parent_child_193,7,"נ""ז בהתמחות הראשית, או 18 נ""ז בהתמחות המשנית, יש לקחת קורסי בחירה או חובה נוספים מתוך ההתמחות. התנהגות ארגונית ומנהל משא",TRUE
mba_gt_036,parent_child_188;parent_child_48;parent_child_153,4,"כם לבחור 3 קורסים מתוך רשימת חובת-הבחירה. שימו לב, סטודנטים שלא פטורים מקורס החובה הכללי ""אסטרטגיה עסקית"" 55821 נדרשים ל",TRUE
mba_gt_037,parent_child_198;parent_child_44;parent_child_1726,4,"ים, באישור ראשת ההתמחות. חקר ביצועים וניהול התפעול ניתן ללמוד כראשית או משנית. לא ניתן לשלב עם ההתמחות ""אנליטיקה של נתונ",TRUE
mba_gt_038,parent_child_44;parent_child_45;parent_child_213,5,יזמות – ניתן ללמוד כהתמחות ראשית או משנית. 3. התנהגות ארגונית ומנהל משאבי אנוש – ניתן ללמוד כהתמחות ראשית או משנית. 4. ח,TRUE
mba_gt_039,parent_child_44;parent_child_213;parent_child_45,9,יזמות – ניתן ללמוד כהתמחות ראשית או משנית. 3. התנהגות ארגונית ומנהל משאבי אנוש – ניתן ללמוד כהתמחות ראשית או משנית. 4. ח,TRUE
mba_gt_040,parent_child_44;parent_child_42;parent_child_198,5,יזמות – ניתן ללמוד כהתמחות ראשית או משנית. 3. התנהגות ארגונית ומנהל משאבי אנוש – ניתן ללמוד כהתמחות ראשית או משנית. 4. ח,TRUE
mba_gt_041,parent_child_213;parent_child_44;parent_child_201,3,"בת-בחירה). כדי להשלים ל-24 נ""ז בהתמחות הראשית, או 18 נ""ז בהתמחות המשנית, יש לקחת קורסי בחירה מתוך ההתמחות. אנליטיקה של נ",TRUE
mba_gt_042,parent_child_46;parent_child_44;parent_child_1847,4,"יהול פיננסי לחשבונאים"". 7. ניהול ביו-רפואי (BioMed )– ניתן ללמוד רק כהתמחות ראשית. 8. ניהול פיננסי לחשבונאים – ניתן ללמו",TRUE
mba_gt_043,parent_child_48;parent_child_46;parent_child_45,5,"ת"". 9. פינטק – ניתן ללמוד רק כהתמחות ראשית. 10. שיווק – ניתן ללמוד כהתמחות ראשית או משנית. שימו לב:  לא ניתן ללמוד שתי ",TRUE
mba_gt_044,parent_child_205;parent_child_46;parent_child_224,5,"קורסי בחירה מתוך ההתמחות. מימון ובנקאות ניתן ללמוד כראשית או משנית. לא ניתן לשלב עם ההתמחות ""ניהול פיננסי לחשבונאים"". אם",TRUE
mba_gt_045,parent_child_213;parent_child_44;parent_child_42,7,"בת-בחירה). כדי להשלים ל-24 נ""ז בהתמחות הראשית, או 18 נ""ז בהתמחות המשנית, יש לקחת קורסי בחירה מתוך ההתמחות. אנליטיקה של נ",TRUE
mba_gt_046,parent_child_904;parent_child_1401;parent_child_902,9,"ו? ההתמחות בשיווק תספק לך את כלל המיומנויות והכלים, הנדרשים לניהול מוצלח של סביבת לקוחות. - בחירה נכונה של לקוחות מתאימי",TRUE
mba_gt_047,parent_child_895;parent_child_894;parent_child_892,7,-Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תואר ראשון,TRUE
mba_gt_048,parent_child_869;parent_child_1655;parent_child_1671,5,"את היוזמה שלך לפועל ולהפוך אותה לסיפור הצלחה בעולם העסקים. ההתמחות מיועדת למי שמתעניינים באסטרטגיה, למי שרוצים להתקדם בש",TRUE
mba_gt_049,parent_child_296;parent_child_256;parent_child_367,8,משאבי אנוש | כלכלה | BA | ארגון וניהול | 142-1-3261 | (55922) התנהגות ארגונית ומנהל משאבי אנוש | מדעי ההתנהגות וניהול | ,TRUE
mba_gt_050,parent_child_224;parent_child_885;parent_child_884,9,"ונאים ניתן ללמוד רק כראשית. לא ניתן לשלב עם ההתמחות ""מימון ובנקאות"". קורסי חובה: סוגיות עכשוויות בחשבונאות בשוק ההון היש",TRUE
mba_gt_051,parent_child_192;parent_child_252;parent_child_49,11,"נ""ז בהתמחות הראשית, או 18 נ""ז בהתמחות המשנית, יש לקחת קורסי בחירה או חובה נוספים מתוך ההתמחות. התנהגות ארגונית ומנהל משא",TRUE
mba_gt_052,parent_child_41;parent_child_1670;parent_child_1654,8,"תשתית במתמטיקה ובסטטיסטיקה במסגרת קורסי הקיץ המרוכזים. לימודי התמחות לימודי ההתמחות כוללים קורסי חובה של ההתמחות, קורסי ",TRUE
mba_gt_053,parent_child_58;parent_child_178;parent_child_64,2,קדמיים אחרים יוכלו להגיש בקשה לפטורים במעמד הקבלת ללימודים. המסלול המחקרי המסלול המחקרי מיועד לסטודנטים המבקשים לרכוש מי,TRUE
mba_gt_054,parent_child_916;parent_child_955;parent_child_34,4,"ים חלופיים. להלן קישור לטבלת הפטורים כפי שמופיעה באתר ביה""ס למנהל עסקים, על סמך קורסים מקבילים שלמדתם/תלמדו בתואר הראשון",TRUE
mba_gt_055,parent_child_247;parent_child_955;parent_child_157,6,"חובה כלליים, המוצגת באתר זה, גובשה על סמך לימודים אקדמיים מקבילים בשנים קודמות, והיא אינדקטיבית בלבד, ללא כל מחויבות מטע",TRUE
mba_gt_056,parent_child_252;parent_child_704;parent_child_575,5,"של התמחות, יש ללמוד קורס בחירה של ההתמחות להשלמת נ""ז. בקשות לפטורים ניתן להגיש דרך מידע אישי. ### אוניברסיטת בן גוריון א",TRUE
mba_gt_057,parent_child_393;parent_child_618;parent_child_558,5,-Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תואר ראשון,TRUE
mba_gt_058,parent_child_180;parent_child_104;parent_child_102,7,"קבלו ממזכירות החוג מסמך המפרט את הפטורים שאושרו לכם, בהתאם ללימודים הקודמים שלכם. להזכירכם, אם אתם פטורים מקורס חובה כלל",TRUE
mba_gt_059,parent_child_48;parent_child_52;parent_child_105,8,"ת"". 9. פינטק – ניתן ללמוד רק כהתמחות ראשית. 10. שיווק – ניתן ללמוד כהתמחות ראשית או משנית. שימו לב:  לא ניתן ללמוד שתי ",TRUE
mba_gt_060,parent_child_932;parent_child_170;parent_child_750,5,א 60 (מתמטיקה וסטטיסטיקה). - ציון עובר בקורסי החובה הבסיסיים הוא 70 גם במידה ואושרו לכם קורסים חלופיים. להלן קישור לטבלת,TRUE
mba_gt_061,parent_child_927;parent_child_924;parent_child_170,4,"שקלל אותו בתואר כחלק מהתואר השני. את יתר הקורסים- שיווק, מודלים כמותיים ואסטרטגיה עסקית, תלמדו כמו תלמידי הכנה למוסמך. ה",TRUE
mba_gt_062,parent_child_747;parent_child_736;parent_child_706,4,"שנלמד בעבר (55796) מתמטיקה למנהל עסקים אלקטרוניקה חדו""א א `+ ב` + מבוא להסתברות (55796) מתמטיקה למנהל עסקים מדעי המחשב B",TRUE
mba_gt_063,parent_child_924;parent_child_664;parent_child_184,9,"ים שנלמדים בתואר השני נלמדים גם בתואר הראשון בחשבונאות (למשל, יסודות/מבוא למימון), תקבלו פטור מחלק מהקורסים של התואר השנ",TRUE
mba_gt_064,parent_child_58;parent_child_64;parent_child_252,3,קדמיים אחרים יוכלו להגיש בקשה לפטורים במעמד הקבלת ללימודים. המסלול המחקרי המסלול המחקרי מיועד לסטודנטים המבקשים לרכוש מי,TRUE
mba_gt_065,parent_child_209;parent_child_1375;parent_child_1767,4,ת קורסי בחירה מתוך ההתמחות. שיווק ניתן ללמוד כראשית או משנית. עליכם לבחור קורס אחד מתוך רשימת החובה-בחירה. אם ההתמחות נל,TRUE
mba_gt_066,parent_child_113;parent_child_92;parent_child_134,6,ר שהוזן הציון בקורס המהווה את תנאי הקדם.  לא ניתן לסגור את תואר הבוגר ואת תואר המוסמך באותה השנה. יש ללמוד לפחות קורס א,TRUE
mba_gt_067,parent_child_935;parent_child_919;parent_child_956,3,תן לפנות למדור שכר לימוד . יש ליצור קשר עם פנינה סונגו בבית הספר למנהל עסקים והם יוסיפו לכם את המסלול למערכת הרישום. כשת,TRUE
mba_gt_068,parent_child_40;parent_child_919;parent_child_134,5,"ו להתמחות בסמסטר הראשון ללימודים. למשל, כדי להתמחות במימון, עליכם לעבור את הקורס ""מבוא למימון"" בסמסטר הראשון לתואר. אחרת",TRUE
mba_gt_069,parent_child_931;parent_child_915;parent_child_170,4,"מי. במסגרת התכנית הזו, את התואר הראשון עליכם לסיים בממוצע הציונים הנדרש כדי להתקבל לתואר השני במנהל עסקים ללא מבחן GMAT ",TRUE
mba_gt_070,parent_child_947;parent_child_936;parent_child_920,7,"תוכלו לקחת גם קורסים מתקדמים של התואר השני (קורסי חובה של ההתמחות/יות, קורסי בחירה של ההתמחות/יות, סמינר/ים- בהתאם לדריש",TRUE
mba_gt_071,parent_child_52;parent_child_53;parent_child_928,4,"לב כי חלופות 2 ו-3 דורשות אישור של ועדת ההוראה של בית הספר): 1) ללמוד התמחות ראשית אחת (24 נ""ז) ולהשלים את יתר הנ״ז מאות",TRUE
mba_gt_072,parent_child_132;parent_child_112;parent_child_40,4,"לימודי ההתמחות לכל הסטודנטים שיעמדו בתנאי התוכנית, והאפשרות להירשם לקורסי ההתמחויות תהיה פתוחה בפניהם, ללא צורך בכך שיפנ",TRUE
mba_gt_073,parent_child_41;parent_child_948;parent_child_949,4,"תשתית במתמטיקה ובסטטיסטיקה במסגרת קורסי הקיץ המרוכזים. לימודי התמחות לימודי ההתמחות כוללים קורסי חובה של ההתמחות, קורסי ",TRUE
mba_gt_074,parent_child_30;parent_child_37;parent_child_216,7,"של 24 נ""ז.  התמחות ראשית בהיקף של 24 נ""ז. לימודי תשתית ולימודי חובה כלליים קורסי תשתית סטודנטים שמגיעים ללא רקע כמותי (",TRUE
mba_gt_075,parent_child_935;parent_child_919;parent_child_32,4,תן לפנות למדור שכר לימוד . יש ליצור קשר עם פנינה סונגו בבית הספר למנהל עסקים והם יוסיפו לכם את המסלול למערכת הרישום. כשת,TRUE
mba_gt_076,parent_child_52;parent_child_105;parent_child_54,5,"לב כי חלופות 2 ו-3 דורשות אישור של ועדת ההוראה של בית הספר): 1) ללמוד התמחות ראשית אחת (24 נ""ז) ולהשלים את יתר הנ״ז מאות",TRUE
mba_gt_077,parent_child_112;parent_child_932;parent_child_180,2,"חיוב בשכר לימוד.  סטודנטים הפטורים מקורסי חובה כלליים ישלימו את הנ""ז מתוך קורסי בחירה כלליים או מתוך קורסי בחירה נוספים",TRUE
mba_gt_078,parent_child_928;parent_child_950;parent_child_948,5,"פיננסי לחשבונאים"" ולהשלים קורסים מהתמחויות אחרות. ניהול פיננסי היא התמחות מורחבת, ולכן יישארו נ""זים עודפים שניתן יהיה לל",TRUE
mba_gt_079,parent_child_104;parent_child_112;parent_child_180,3,"נוספת (ראו פירוט על ""קורסי התמחות"" להלן). קורסי התמחות: סטודנטים שאינם פטורים מקורסי חובה כלליים או פטורים מעד 4 (כולל) ",TRUE
mba_gt_080,parent_child_53;parent_child_32;parent_child_54,4,"אישור ועדת הוראה. 3) ללמוד התמחות ראשית אחת (24 נ""ז) והתמחות משנית אחת (18 נ""ז). תכנית זאת כוללת 54 נ""ז במקום ב-48 נ""ז. ",TRUE
mba_gt_081,parent_child_105;parent_child_54;parent_child_52,9,"ם לומדים. סטודנטים שפטורים מ-5 קורסי חובה כלליים לפחות (כלומר 15 נ""ז מקורסי החובה הכלליים), נדרשים לבחור בין שתי חלופות:",TRUE
mba_gt_082,parent_child_52;parent_child_53;parent_child_54,8,"לב כי חלופות 2 ו-3 דורשות אישור של ועדת ההוראה של בית הספר): 1) ללמוד התמחות ראשית אחת (24 נ""ז) ולהשלים את יתר הנ״ז מאות",TRUE
mba_gt_083,parent_child_54;parent_child_48;parent_child_53,5,"מחות ראשית אחת (24 נ""ז) ולהשלים את יתר הנ""ז מאותה ההתמחות או מקורסי בחירה כלליים. 2) ללמוד התמחות ראשית אחת (24 נ""ז) והת",TRUE
mba_gt_084,parent_child_56;parent_child_126;parent_child_157,7,"נ""ז. סטודנטים שסיימו את לימודי הבוגר במנהל עסקים באוניברסיטה העברית פטורים מקורסי החובה הכלליים (בהנחה שעברו את כל הקורס",TRUE
mba_gt_085,parent_child_157;parent_child_170;parent_child_167,5,"נית ""המסלול המואץ למוסמך"" רק בשנה ב' ללימודי הבוגר. במסגרת לימודי הבוגר נלמדים גם קורסים במתמטיקה, סטטיסטיקה וכלכלה, ולכ",TRUE
mba_gt_086,parent_child_62;parent_child_862;parent_child_106,4,"זכאים להפחתה של 7-6 נ""ז 2 בהיקף התואר. כלומר, לימודי המוסמך המחקרי ייסגרו עם לפחות 41 נ""ז אם מדובר בסטודנטים שלא למדו תו",TRUE
mba_gt_087,parent_child_90;parent_child_133;parent_child_91,5,"ודנטים שמבקשים להצטרף לתוכנית על סמך הצטיינות בלימודי תואר הבוגר, נדרשים לפנות למנהלנית תואר הבוגר במנהל עסקים ולבקש לבד",TRUE
mba_gt_088,parent_child_935;parent_child_919;parent_child_857,3,תן לפנות למדור שכר לימוד . יש ליצור קשר עם פנינה סונגו בבית הספר למנהל עסקים והם יוסיפו לכם את המסלול למערכת הרישום. כשת,TRUE
mba_gt_089,parent_child_52;parent_child_53;parent_child_134,5,"לב כי חלופות 2 ו-3 דורשות אישור של ועדת ההוראה של בית הספר): 1) ללמוד התמחות ראשית אחת (24 נ""ז) ולהשלים את יתר הנ״ז מאות",TRUE
mba_gt_090,parent_child_49;parent_child_152;parent_child_943,5,"סטודנטים אשר פטורים מאחד עד שלושה (כולל) מקורסי החובה הכלליים של התואר (ראו למעלה), ילמדו התמחות אחת ראשית בהיקף של 24 נ",TRUE
mba_gt_091,parent_child_112;parent_child_214;parent_child_132,4,"חיוב בשכר לימוד.  סטודנטים הפטורים מקורסי חובה כלליים ישלימו את הנ""ז מתוך קורסי בחירה כלליים או מתוך קורסי בחירה נוספים",TRUE
mba_gt_092,parent_child_1074;parent_child_149;parent_child_114,1,י | מפגש: יום חמישי 08:30-11:00 (שעור) הערה: קבוצה א' תלמד באופן מקוון. קבוצה ב' תתקיים בין 11:00 עד 13:30 קבוצה ג' תתקי,TRUE
mba_gt_093,parent_child_72;parent_child_69;parent_child_920,8,"ימודי תואר המוסמך ללא מבחן GMAT ,ובתנאי שיעמדו בסף הקבלה. תוכנית ""אלפא"" לתלמידי בוגר מצטיינים במנהל עסקים תוכנית המצטיינ",TRUE
mba_gt_094,parent_child_56;parent_child_126;parent_child_169,6,"נ""ז. סטודנטים שסיימו את לימודי הבוגר במנהל עסקים באוניברסיטה העברית פטורים מקורסי החובה הכלליים (בהנחה שעברו את כל הקורס",TRUE
mba_gt_095,parent_child_910;parent_child_125;parent_child_81,6,שומרים על ממוצע כללי של לפחות 85 בסוף שנה ב'. - קריטריון הקבלה השני מתבסס על ממוצע של 90 לפחות בקורסי היסודות: - יסודות ,TRUE
mba_gt_096,parent_child_922;parent_child_942;parent_child_0,8,נו בשילוב עם מנהל עסקים מסלול למצטיינים המיועד למי שמעוניינים לסיים תואר שני במנהל עסקים תוך 4 שנים מתחילת הלימודים באונ,TRUE
mba_gt_097,parent_child_117;parent_child_149;parent_child_157,3,"שלים לתעריף של לימודי תואר מוסמך במנהל עסקים. אין תשלום עבור השייכות לתוכנית ""המסלול המואץ למוסמך"", אלא רק עבור הקורסים ",TRUE
mba_gt_098,parent_child_76;parent_child_148;parent_child_142,7,"ום ומעבר בהצלחה של קורס אחד לפחות מתוך תואר המוסמך, בשנה ג' ללימודי הבוגר.  לא ניתן לסגור את שני התארים (בוגר ומוסמך) ב",TRUE
mba_gt_099,parent_child_116;parent_child_117;parent_child_934,9,"סמך הרשמי יארך שנתיים.  התשלום עבור קורסי תואר המוסמך הנלקחים במסגרת תוכנית ""המסלול המואץ למוסמך"" הינו בתעריף של קורס ש",TRUE
mba_gt_100,parent_child_97;parent_child_89;parent_child_919,4,"גשת בקשה למזכירות המוסמך במנהל עסקים להעברת הקורסים שאוחסנו במהלך תואר הבוגר, והעברתם לתוך תואר המוסמך. תוכנית ""המסלול ה",TRUE
