sample_id,chunk_ids,match_score,matched_preview,needs_review
mba_gt_051,breadcrumb_63;breadcrumb_26;breadcrumb_13,9,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_052,breadcrumb_481;breadcrumb_487;breadcrumb_482,6,"[התמחות באסטרטגיה ויזמות - משנית] שנה 1 - חובת בחירה סמינרים (סה""כ 4 נ""ז) הערה: שנה ב - בהתמחות באסטרטגיה, יש לבחור סמינ",TRUE
mba_gt_053,breadcrumb_16;breadcrumb_62;breadcrumb_63,4,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_054,breadcrumb_62;breadcrumb_86;breadcrumb_151,5,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_055,breadcrumb_62;breadcrumb_63;breadcrumb_132,9,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_056,breadcrumb_63;breadcrumb_155;breadcrumb_151,6,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_057,breadcrumb_155;breadcrumb_186;breadcrumb_210,5,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_058,breadcrumb_45;breadcrumb_26;breadcrumb_13,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_059,breadcrumb_12;breadcrumb_47;breadcrumb_26,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_060,breadcrumb_98;breadcrumb_97;breadcrumb_121,4,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_061,breadcrumb_62;breadcrumb_43;breadcrumb_167,4,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_062,breadcrumb_98;breadcrumb_180;breadcrumb_121,4,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_063,breadcrumb_167;breadcrumb_151;breadcrumb_174,10,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_064,breadcrumb_63;breadcrumb_62;breadcrumb_156,3,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_065,breadcrumb_259;breadcrumb_256;breadcrumb_521,5,"[מנהל עסקים, מחקרי] שנה 1 - בחירה (סה""כ 1 נ""ז) הערה: קורסי בחירה כלליים במוסמך במנהל עסקים, אינם חלק מההתמחות. - 55678: ",TRUE
mba_gt_066,breadcrumb_28;breadcrumb_242;breadcrumb_235,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_067,breadcrumb_243;breadcrumb_242;breadcrumb_240,3,[מסלול מואץ - כל הקורסים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg,TRUE
mba_gt_068,breadcrumb_27;breadcrumb_28;breadcrumb_232,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_069,breadcrumb_36;breadcrumb_27;breadcrumb_40,6,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_070,breadcrumb_10;breadcrumb_450;breadcrumb_349,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_071,breadcrumb_12;breadcrumb_13;breadcrumb_234,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_072,breadcrumb_10;breadcrumb_474;breadcrumb_475,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_073,breadcrumb_240;breadcrumb_433;breadcrumb_428,4,[מסלול מואץ - כל הקורסים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg,TRUE
mba_gt_074,breadcrumb_46;breadcrumb_89;breadcrumb_50,6,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_075,breadcrumb_242;breadcrumb_28;breadcrumb_243,6,[מסלול מואץ - כל הקורסים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg,TRUE
mba_gt_076,breadcrumb_26;breadcrumb_504;breadcrumb_521,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_077,breadcrumb_16;breadcrumb_348;breadcrumb_347,4,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_078,breadcrumb_234;breadcrumb_241;breadcrumb_240,6,[מסלול מואץ] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/,TRUE
mba_gt_079,breadcrumb_26;breadcrumb_45;breadcrumb_151,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_080,breadcrumb_13;breadcrumb_16;breadcrumb_7,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_081,breadcrumb_26;breadcrumb_13;breadcrumb_45,9,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_082,breadcrumb_13;breadcrumb_26;breadcrumb_86,9,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_083,breadcrumb_14;breadcrumb_12;breadcrumb_13,9,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_084,breadcrumb_43;breadcrumb_45;breadcrumb_14,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_085,breadcrumb_42;breadcrumb_8;breadcrumb_40,6,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_086,breadcrumb_26;breadcrumb_57;breadcrumb_15,6,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_087,breadcrumb_22;breadcrumb_23;breadcrumb_33,6,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_088,breadcrumb_33;breadcrumb_243;breadcrumb_242,6,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_089,breadcrumb_13;breadcrumb_34;breadcrumb_36,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_090,breadcrumb_13;breadcrumb_28;breadcrumb_46,6,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_091,breadcrumb_10;breadcrumb_13;breadcrumb_526,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_092,breadcrumb_28;breadcrumb_62;breadcrumb_278,2,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_093,breadcrumb_17;breadcrumb_31;breadcrumb_18,12,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_094,breadcrumb_18;breadcrumb_42;breadcrumb_17,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_095,breadcrumb_230;breadcrumb_20;breadcrumb_30,7,[מסלול מואץ] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/,TRUE
mba_gt_096,breadcrumb_24;breadcrumb_238;breadcrumb_239,12,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_097,breadcrumb_231;breadcrumb_235;breadcrumb_26,6,[מסלול מואץ] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/,TRUE
mba_gt_098,breadcrumb_37;breadcrumb_19;breadcrumb_36,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_099,breadcrumb_236;breadcrumb_232;breadcrumb_29,13,[מסלול מואץ] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/,TRUE
mba_gt_100,breadcrumb_24;breadcrumb_27;breadcrumb_36,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
